"Breed","BreedEntity","StrangerDirectedAggression","OwnerDirectedAggression","DogDirectedAggression","StrangerDirectedFear","DogDirectedFear","NonsocialFear","DogRivalry","Trainability","Chasing","AttachmentAttentionSeeking","SeparationRelatedBehavior","TouchSensitivity","Excitability","EnergyLevel"
"German Shepherd","Entity[""DogBreed"", ""GermanShepherdDog""]",0.625,0,"Missing[""NotAvailable""]",0,1.3333333333,0.4,3.75,2.5,3.25,3.3333333333,0.125,1.75,3.4,3
"Golden Retriever","Entity[""DogBreed"", ""GoldenRetriever""]",0,0,0,0,0,0,0.25,3.5,1.25,1.8333333333,0,0,1.6666666667,0
"Cocker Spaniel (American)","Entity[""DogBreed"", ""CockerSpaniel""]",0.4,0.125,0,1.5,"Missing[""NotAvailable""]",0.8333333333,0.25,2.25,1.5,2.3333333333,0.5,0,1.6666666667,4
"Beagle","Entity[""DogBreed"", ""Beagle""]",0.4,0,0.75,0.25,0.25,0.5,0.25,3.125,3.6666666667,0.8,0,0.5,1,2
"Beagle","Entity[""DogBreed"", ""Beagle""]",0.3,0,1.75,0,"Missing[""NotAvailable""]",0,0.5,3,2.75,0.4,0,0.25,0.8333333333,1.5
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0.4444444444,0,0.5,1.75,0.75,1,0.25,3.125,2,2,0.625,2.25,1.6666666667,2
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0,0,0,3,1.75,"Missing[""NotAvailable""]",0,1.875,2,1.3333333333,0,1.75,2.3333333333,2.5
"American Pit Bull Terrier","Entity[""DogBreed"", ""AmericanPitBullTerrier""]",1.25,0.125,"Missing[""NotAvailable""]",0.6666666667,"Missing[""NotAvailable""]",3.3333333333,1,1.4285714286,2.5,3.5,2.375,1.75,3.8333333333,4
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0.5,0,0.25,0,0.25,0.8333333333,0,2.875,2.75,1.6666666667,0.375,0,2,2
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0.8,0.1428571429,1.5,2.25,0.5,3,1.25,2.25,3.5,0.3333333333,2.375,3,2.8333333333,1
"Greyhound","Entity[""DogBreed"", ""Greyhound""]",0,0,0,1,0.25,1.1666666667,0,2.3333333333,2.75,1.4,0.5,0,1.6,1
"Akita","Entity[""DogBreed"", ""Akita""]",0.9,0.1428571429,1,0.75,1.3333333333,0.1666666667,"Missing[""NotAvailable""]",2,2.25,0.3333333333,0,0,1,2
"Akita","Entity[""DogBreed"", ""Akita""]",1.6,0,2.5,2.25,1.25,0.5,1,2.25,3,1.3333333333,0.125,0.5,2.8333333333,1.5
"Poodle (Standard)","Entity[""DogBreed"", ""StandardPoodle""]",0.6,0,0.5,0.75,0.5,0,0,3.5,3,2,1,0.5,3.5,4
"Labrador Retriever","Entity[""DogBreed"", ""LabradorRetriever""]",1.4,0.125,1.5,1.5,1.25,0.6666666667,0,2.75,2,2.1666666667,1.25,2.25,2.8333333333,3.5
"Maltese","Entity[""DogBreed"", ""Maltese""]",1.7777777778,0,2.5,1.25,1.5,0.3333333333,2.25,2.125,"Missing[""NotAvailable""]",2,1.5,0.75,2.3333333333,1
"Labrador Retriever","Entity[""DogBreed"", ""LabradorRetriever""]",0.1,0.125,0,0,0.5,0,0.5,2.375,"Missing[""NotAvailable""]",2.3333333333,0.375,0.75,2,1.5
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0.6,0,0.75,0.25,0,0.5,"Missing[""NotAvailable""]",3.375,2.25,2.8333333333,0.8571428571,0,3,0.5
"Kuvasz","Entity[""DogBreed"", ""Kuvasz""]",0.6,0,0.25,0,0,0,0,2.5,1,1.5,0,0,1.8333333333,0
"Kuvasz","Entity[""DogBreed"", ""Kuvasz""]",0,0,0,0.25,0,0.1666666667,0,3.25,0.75,2.5,0,0,2.1666666667,1.5
"Kuvasz","Entity[""DogBreed"", ""Kuvasz""]",0.1,0,0,1.5,0,1,0.25,3.375,1,1.5,0,0,1,1
"Kuvasz","Entity[""DogBreed"", ""Kuvasz""]",0,0,0,0.5,0.25,0.8333333333,0,2,1.25,1.5,0.125,0.25,2.3333333333,2
"Kuvasz","Entity[""DogBreed"", ""Kuvasz""]",0.1,0,0,0.25,0,0,0,2.5714285714,0.75,1.1666666667,0,0,1.6666666667,2
"Kuvasz","Entity[""DogBreed"", ""Kuvasz""]",0.2,0,0,0,0,0.5,0,3.375,0.6666666667,0.3333333333,0,0,1.1666666667,0.5
"German Shepherd","Entity[""DogBreed"", ""GermanShepherdDog""]",3.1,1.375,4,3.25,"Missing[""NotAvailable""]",2.8333333333,"Missing[""NotAvailable""]",1.875,4,2.4,0.5,3,3.8333333333,1.5
"Whippet","Entity[""DogBreed"", ""Whippet""]",0,0,0,0.5,2,1.4,"Missing[""NotAvailable""]",3,2.5,2,0,0.5,2,2
"Rottweiler","Entity[""DogBreed"", ""Rottweiler""]",0.1,0,0,0,0,0.4,0,3,3,3,0.125,0.25,1.5,3.5
"Mixed Breed/Unknown","Missing[""NotAvailable""]","Missing[""NotAvailable""]",0,0,0.25,0.25,0.1666666667,0,2.75,3,1.8333333333,0.5,0.25,1,3
"American Pit Bull Terrier","Entity[""DogBreed"", ""AmericanPitBullTerrier""]",0.1,0,2,0,0,1.8333333333,"Missing[""NotAvailable""]",3.375,4,3.6666666667,0.75,0.5,3,4
"Cocker Spaniel (English)","Entity[""DogBreed"", ""EnglishCockerSpaniel""]",1.375,0,1.6666666667,4,0.6666666667,0.2,1.75,"Missing[""NotAvailable""]",1.3333333333,2.5,0,0.25,1,0.5
"Airedale Terrier","Entity[""DogBreed"", ""AiredaleTerrier""]",0.4,0.375,0.5,0,0.6666666667,0.3333333333,0,2.375,2.3333333333,"Missing[""NotAvailable""]",0.375,0,1.6666666667,4
"Labrador Retriever","Entity[""DogBreed"", ""LabradorRetriever""]",0.1,0,0,0,0,0.3333333333,0,2.5,0.5,1.3333333333,0.25,0.25,2.1666666667,1.5
"King Shepherd","Missing[""NotAvailable""]",0.8,0,0.25,2.75,0.25,1.4,0.5,2.375,2,3.1666666667,1.875,1,3.1666666667,2.5
"Mixed Breed/Unknown","Missing[""NotAvailable""]",1.4,1.125,1.5,0.5,1.75,0.6666666667,1,2,3.5,2.8333333333,0.125,2.75,2.5,3
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0.9,0,1.5,1,1,0.8333333333,0.25,2.625,2,2.6666666667,1,1.5,2.1666666667,1
"German Shepherd","Entity[""DogBreed"", ""GermanShepherdDog""]",2.2,2,2,2,2,2,2.25,1.625,2,2,1.875,2,2,2.5
"Vizsla","Entity[""DogBreed"", ""Vizsla""]",0,0.5,0.25,0,0.5,0.5,"Missing[""NotAvailable""]",2.5,3,3.3333333333,0.625,0.25,2.8333333333,4
"Teddy Roosevelt Terriers","Entity[""DogBreed"", ""TeddyRooseveltTerrier""]",1.4,1.875,1.5,1.5,1.25,2.3333333333,2.5,2,1,2.8333333333,1.25,3.75,1.8333333333,1.5
"Tibetan Terrier","Entity[""DogBreed"", ""TibetanTerrier""]",1.3333333333,0,2,1,2.3333333333,0,0,3.25,2,1.3333333333,0,0,1.6666666667,0.5
"Golden Retriever","Entity[""DogBreed"", ""GoldenRetriever""]",0.1,0.125,0.75,0,0,0.3333333333,0.25,2.875,2,2.6666666667,1.25,2.5,3.1666666667,2
"Mixed Breed/Unknown","Missing[""NotAvailable""]",1.1,0.5,1,0,0,0.3333333333,0.75,2.25,3,0.3333333333,0.5714285714,0,2.6666666667,3
"Newfoundland","Entity[""DogBreed"", ""Newfoundland""]",0.9,0,1.75,0,0,1.5,0.25,2,2,1.1666666667,0.5,0.25,2.5,2
"Soft Coated Wheaten Terrier","Entity[""DogBreed"", ""SoftCoatedWheatenTerrier""]",1.1,0.5,1.75,0,0.5,1.6666666667,1.5,1.875,3,2.1666666667,0.375,0.5,3.1666666667,1
"Miniature Schnauzer","Entity[""DogBreed"", ""MiniatureSchnauzer""]",0.7,0,0.5,0,0,0,0.75,2.875,2,1.6666666667,0.125,0.5,3,3
"Poodle (Toy)","Entity[""DogBreed"", ""ToyPoodle""]",2.6,2.125,3,3,3,2.8,2,1.625,3,2.6666666667,1.375,2.75,2.6666666667,3
"American Staffordshire Terrier","Entity[""DogBreed"", ""AmericanStaffordshireTerrier""]",0,0,0.25,0,0.25,0.3333333333,0,2.375,2,0.3333333333,0.75,0.75,2.1666666667,2
"Staffordshire Bull Terrier","Entity[""DogBreed"", ""StaffordshireBullTerrier""]",1.2,0,2,1,0.75,0.8333333333,0.25,3.125,2.25,2.8333333333,0,1,3.5,0.5
"Pomeranian","Entity[""DogBreed"", ""Pomeranian""]",1.8,0,1.75,1.25,1.5,1.3333333333,1.75,3,1.25,3,1.375,0.75,3.6666666667,3
"Australian Shepherd","Entity[""DogBreed"", ""AustralianShepherd""]",0.7,0,2.75,0,0.75,0.8333333333,0,3.625,2.25,2,0,0,1.8333333333,1
"Australian Shepherd","Entity[""DogBreed"", ""AustralianShepherd""]",1.5,0,0.25,1.75,0,0.1666666667,0,3.375,2.25,3,0.125,0,2.1666666667,4
"Labrador Retriever","Entity[""DogBreed"", ""LabradorRetriever""]",0.3333333333,0,0,0.5,0,0.3333333333,1,2.75,3.5,3.1666666667,1.5,0.25,2.6666666667,3
"Collie","Entity[""DogBreed"", ""Collie""]",0.3,0,"Missing[""NotAvailable""]",0,1,0,0.75,2.5,"Missing[""NotAvailable""]",1.6666666667,0,0.5,0.8333333333,1.5
"Australian Shepherd","Entity[""DogBreed"", ""AustralianShepherd""]",0,0,0,0,0,0.6666666667,0,3,1.25,1.5,0,0,2,2.5
"Australian Shepherd","Entity[""DogBreed"", ""AustralianShepherd""]",0,0,0.25,0,0,0.8333333333,0,2.875,2.75,1.6666666667,0,0,2,3
"Lhasa Apso","Entity[""DogBreed"", ""LhasaApso""]",0.9,0,1,0,0,0.1666666667,"Missing[""NotAvailable""]",2.625,2.75,1.1666666667,2.125,0,2.5,2
"Rottweiler","Entity[""DogBreed"", ""Rottweiler""]",0.4,0.375,1.25,0,0.25,0.5,1.25,3.625,1.5,1.5,0.5,0.75,1.3333333333,2.5
"Rhodesian Ridgeback","Entity[""DogBreed"", ""RhodesianRidgeback""]",0.1,0,1,0,0.6666666667,0.1666666667,0,2.75,3.75,1.8,0.125,0.25,1.5,2
"Rat Terrier","Entity[""DogBreed"", ""RatTerrier""]",0.8,0,1.5,0.5,0,0.3333333333,0.75,3.375,3.75,2.1666666667,0.4285714286,1,2.3333333333,2.5
"Airedale Terrier","Entity[""DogBreed"", ""AiredaleTerrier""]",0,0,0.75,0,0.25,0.5,0,2.75,2.75,1.6,1,0.75,2.1666666667,2.5
"Shih Tzu","Entity[""DogBreed"", ""ShihTzu""]",0.3,0.375,0.25,1.75,4,2.3333333333,"Missing[""NotAvailable""]",2.125,0,2.3333333333,1.875,2,2.8333333333,2.5
"Dachshund","Entity[""DogBreed"", ""Dachshund""]",0.9,0.75,1,1,1,1,1,2,1,2.3333333333,1.25,1,1.8333333333,1
"Labrador Retriever","Entity[""DogBreed"", ""LabradorRetriever""]",0,0,0,0,0,0.1666666667,0,3.25,1.6666666667,0.6666666667,0,0,2.1666666667,0.5
"Golden Retriever","Entity[""DogBreed"", ""GoldenRetriever""]",0.1,0,0,0,0,0.6666666667,0,3,1,2.3333333333,0.125,0.5,1.5,2
"German Shepherd","Entity[""DogBreed"", ""GermanShepherdDog""]",0.7777777778,0,0,0.25,0.5,0.3333333333,0,2.875,0.5,0.8333333333,0.125,0.5,0.8333333333,1.5
"Labrador Retriever","Entity[""DogBreed"", ""LabradorRetriever""]",1.1,0,1.5,1,3.25,1.5,0,2.25,3.5,2.6666666667,1.4285714286,0.5,3.1666666667,2
"Labrador Retriever","Entity[""DogBreed"", ""LabradorRetriever""]",0,0,0,0,0,0.1666666667,0,3.25,1.6666666667,2.6666666667,0,0,3.6666666667,3
"Labrador Retriever","Entity[""DogBreed"", ""LabradorRetriever""]",0.2222222222,0,0,0,0,0,0,2.875,2.75,0.8333333333,0,0.25,1.3333333333,3
"Labrador Retriever","Entity[""DogBreed"", ""LabradorRetriever""]",0.2222222222,0,0,0,0,0,0,3.25,2,1,0.5,0.25,1,3
"Labrador Retriever","Entity[""DogBreed"", ""LabradorRetriever""]",0,0,0,0,0,0.3333333333,0,3.375,2.75,0.5,0,0,0.8333333333,2
"English Springer Spaniel","Entity[""DogBreed"", ""EnglishSpringerSpaniel""]",0.125,0.125,1.3333333333,0,"Missing[""NotAvailable""]",0.8,0,2.5714285714,2.3333333333,2.8333333333,1.375,2.25,2.8333333333,3
"Mastiff (English)","Entity[""DogBreed"", ""Mastiff""]",0.1,0,0.5,0,0,0,0.25,3.125,1.75,1.8333333333,1,0.25,1.2,1.5
"Collie (Rough)","Missing[""NotAvailable""]",0.9,0,0.25,1,0,0.1666666667,0,3.125,2,3,2,0.25,3,3
"Great Dane","Entity[""DogBreed"", ""GreatDane""]",0,0,0,0,0,1,0,2.625,0,2.6666666667,0.125,0.5,1.8333333333,0
"Great Pyrenees","Entity[""DogBreed"", ""GreatPyrenee""]",2.8,0.625,1,2.25,1.5,0.6666666667,3.5,2.625,3.75,1.5,2.5,1,2.3333333333,3
"German Shepherd","Entity[""DogBreed"", ""GermanShepherdDog""]",1.5,0,3.3333333333,0,0.6666666667,0.1666666667,1,2.75,3.75,2,0,0,3.3333333333,3
"German Shepherd","Entity[""DogBreed"", ""GermanShepherdDog""]",1.4,0,2.6666666667,0,0.6666666667,0.1666666667,1,3,3.25,2,0,0,3.1666666667,4
"Mastiff (English)","Entity[""DogBreed"", ""Mastiff""]",0,0,0,0,0.5,1,0,2.5,1.25,2.3333333333,0.5,0.5,1.1666666667,0.5
"Pit Bull mix","Missing[""NotAvailable""]",0.2222222222,0,3.75,0,4,2.1666666667,4,2.5,3.75,2.5,0,1.25,2.1666666667,3
"Dachshund","Entity[""DogBreed"", ""Dachshund""]",0.4,0.125,0.5,0,0.25,0.5,0,3,1.5,1,0,0,2.5,2.5
"Papillon","Entity[""DogBreed"", ""Papillon""]",0,0,0,0,0,0,0,3.625,1.75,0.8333333333,0,0.5,3.1666666667,3.5
"Papillon","Entity[""DogBreed"", ""Papillon""]",1.4,0.25,2.25,2.75,3.25,1.1666666667,1,2.25,4,2.6666666667,0.375,1.75,3.6666666667,4
"Papillon","Entity[""DogBreed"", ""Papillon""]",0.8,0,3.25,0,1.75,0.1666666667,0,3.625,3.75,1.3333333333,1.875,1.5,3,2
"Schipperke","Entity[""DogBreed"", ""Schipperke""]",2.4,1.125,3.6666666667,1.5,2.3333333333,1.5,1,3,2.75,1.1666666667,0,1.75,1.3333333333,0
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0.6666666667,1.6666666667,"Missing[""NotAvailable""]",0,0,0.5,1.25,2.5,4,1.6666666667,0.5,2,1,2.5
"Boxer","Entity[""DogBreed"", ""Boxer""]",0.3,0.125,1.25,0,0.25,0.3333333333,0,3,3.5,2.1666666667,0,0,2.1666666667,2.5
"Brittany","Entity[""DogBreed"", ""Brittany""]",1.875,0.8333333333,"Missing[""NotAvailable""]",1.6666666667,"Missing[""NotAvailable""]","Missing[""NotAvailable""]","Missing[""NotAvailable""]",2.125,3,3.5,1.25,1.3333333333,3,2
"Bichon Frise","Entity[""DogBreed"", ""BichonFrise""]",0.1,0,0,0,0,0,0,1.8571428571,"Missing[""NotAvailable""]",2.1666666667,0.25,0,2.1666666667,3
"Bichon Frise","Entity[""DogBreed"", ""BichonFrise""]",0,0,0,1.6666666667,0,0.1666666667,0,2.1666666667,"Missing[""NotAvailable""]",0.1666666667,0,0,0.8,0.5
"Bichon Frise","Entity[""DogBreed"", ""BichonFrise""]",0.1,0,0,0,0,1.1666666667,0.3333333333,2.25,2,1.1666666667,0.5,0.3333333333,1.8333333333,2
"Poodle (Standard)","Entity[""DogBreed"", ""StandardPoodle""]",0.75,0,1,0,0,0,"Missing[""NotAvailable""]",2.75,0.75,"Missing[""NotAvailable""]",0.25,0,2,3.5
"Mastiff (English)","Entity[""DogBreed"", ""Mastiff""]",0.3,0,0.6666666667,0,"Missing[""NotAvailable""]",0,0.75,2.5714285714,2.5,1.5,0,1.25,0.8333333333,0.5
"Mastiff (English)","Entity[""DogBreed"", ""Mastiff""]",0.3333333333,0,"Missing[""NotAvailable""]",0,"Missing[""NotAvailable""]",0.6,1,2.8571428571,2.5,1.8333333333,0,0.75,1,2.5
"Rottweiler","Entity[""DogBreed"", ""Rottweiler""]",0.3,0,0.25,0,0,0.1666666667,0.5,3.5,3.5,1.1666666667,0.125,0.25,1.8333333333,2
"Mixed Breed/Unknown","Missing[""NotAvailable""]",1.3,0,1.25,1,0.75,0.3333333333,0.25,3,3.5,2.3333333333,0,1,2.3333333333,2
"Pomeranian","Entity[""DogBreed"", ""Pomeranian""]",0,0,0,1,"Missing[""NotAvailable""]",0.4,0,2.5,0,3.6,0.25,0.5,2.2,2
"Irish Setter","Entity[""DogBreed"", ""IrishSetter""]",0,0.25,0,0,1,0.6666666667,1,3.125,3.5,2.1666666667,0.875,1,2.8333333333,2
"Shiba Inu","Entity[""DogBreed"", ""ShibaInu""]","Missing[""NotAvailable""]",0,0,0,0.6666666667,0.5,"Missing[""NotAvailable""]",2.625,2.5,0.6666666667,0.125,0.75,2,2.5
"Australian Shepherd","Entity[""DogBreed"", ""AustralianShepherd""]",0.3,0,1,0,0,1,0,2.875,2.75,1.2,0,1,2,2
"Mixed Breed/Unknown","Missing[""NotAvailable""]",2.8,0,0.25,3.75,0.5,0.6666666667,0,2.875,3.5,2,1.25,1.75,3.6666666667,1.5
"Labrador Retriever","Entity[""DogBreed"", ""LabradorRetriever""]",0,0,"Missing[""NotAvailable""]",0,"Missing[""NotAvailable""]",0,"Missing[""NotAvailable""]",2,2.6666666667,2,0.25,0,2.3333333333,2.5
"Soft Coated Wheaten Terrier","Entity[""DogBreed"", ""SoftCoatedWheatenTerrier""]",0.3,0,0,0.25,0,0.3333333333,0.5,2.1428571429,0,1.1666666667,0,0,1.1666666667,2.5
"Rottweiler","Entity[""DogBreed"", ""Rottweiler""]",0.7,0,0.75,1.25,0.5,0.3333333333,0.25,2.75,3.5,2.8333333333,1,0.5,0.6666666667,2
"Doberman Pinscher","Entity[""DogBreed"", ""DobermanPinscher""]",0,0,1.5,0.25,1.25,0.3333333333,2,2.75,3.75,3.6666666667,1,0.25,3.8333333333,4
"Doberman Pinscher","Entity[""DogBreed"", ""DobermanPinscher""]",0,0,1.5,0,1,0.8333333333,1.75,2.125,3.5,3.1666666667,0,0.5,3,1.5
"Border Collie","Entity[""DogBreed"", ""BorderCollie""]",3.4,0,2.5,0.5,0.25,1.8333333333,1.5,3.125,4,1.5,0,1,3.6666666667,2.5
"Yorkshire Terrier","Entity[""DogBreed"", ""YorkshireTerrier""]","Missing[""NotAvailable""]",0,"Missing[""NotAvailable""]",0.5,0,0.1666666667,"Missing[""NotAvailable""]",3.1666666667,2.75,2.6,0.375,0,1.3333333333,2
"Mixed Breed/Unknown","Missing[""NotAvailable""]",1,0.1428571429,2,0,1,1.6666666667,"Missing[""NotAvailable""]",2.7142857143,2.5,1.6666666667,1.3333333333,3.3333333333,3.3333333333,2
"Beagle","Entity[""DogBreed"", ""Beagle""]",1.4,0,0,3.6666666667,0.25,2.5,0,1.2857142857,1.75,2.5,0.375,1.6666666667,2.1666666667,0
"Dalmatian","Entity[""DogBreed"", ""Dalmatian""]",0.4,0,1,0.5,2,0.8333333333,"Missing[""NotAvailable""]",2.625,2.5,1.8,1.125,1,1.1666666667,4
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0.5,0,0.5,0,0,0,0,3.5,3.25,2,0,0.5,2,3
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0.9,0,1,1.75,0.5,2.1666666667,0.25,3.625,2.5,1.6666666667,0.875,0.75,1.6666666667,1
"Keeshond","Entity[""DogBreed"", ""Keeshond""]",0,0,0,0,0.5,1.1666666667,0,3.25,"Missing[""NotAvailable""]",2,0.5,0.25,3.3333333333,1.5
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0.7,0,0.5,0.5,0.25,0.6666666667,"Missing[""NotAvailable""]",1.625,3.25,1.6666666667,0.375,1,4,4
"Vizsla","Entity[""DogBreed"", ""Vizsla""]",0.4,0,0.5,0.25,0.75,0.1666666667,0.5,2.625,2.5,1,0.5,0.5,2.3333333333,2
"Whippet","Entity[""DogBreed"", ""Whippet""]",0.6,0,0,0,0,0.1666666667,0.25,2.875,2.75,1.1666666667,0.625,1.5,1.3333333333,1
"Mixed Breed/Unknown","Missing[""NotAvailable""]","Missing[""NotAvailable""]",1,3,2.3333333333,2.25,2.4,2,2.25,3.5,3,1.7142857143,3,3,2.5
"Poodle (Standard)","Entity[""DogBreed"", ""StandardPoodle""]",0.2,0,0,0.25,0,0,0,3.5,1.5,2.1666666667,0,0,2,4
"Greyhound","Entity[""DogBreed"", ""Greyhound""]",0.1,0,0,0,0.25,0.3333333333,0,2.875,0.75,0.8333333333,0.5,0.25,1.5,1.5
"American Pit Bull Terrier","Entity[""DogBreed"", ""AmericanPitBullTerrier""]",0,0,1.3333333333,0,0,0,0,3.25,2.5,1.5,0.875,0,1.5,2.5
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0.1,0.875,0,0,0,1.8,0,2.75,"Missing[""NotAvailable""]",1,0.125,0.25,1.6666666667,2.5
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0.6,0,1.75,0,0,1,0.5,2.875,3.75,2.1666666667,0,0,1,0
"Mixed Breed/Unknown","Missing[""NotAvailable""]",1.8,0,0.75,1.75,1.5,0.3333333333,0,3.75,3.75,1.6666666667,0.625,0.75,2.8333333333,2.5
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0.6,0.125,2,0.5,0.25,1,3,3.25,0.75,1.5,2.875,0.25,1.8333333333,0.5
"American Pit Bull Terrier","Entity[""DogBreed"", ""AmericanPitBullTerrier""]",0,0,1.6666666667,0.75,1.3333333333,0.1666666667,0,3.125,3.25,2.5,0.25,0.25,1.3333333333,4
"Cocker Spaniel (American)","Entity[""DogBreed"", ""CockerSpaniel""]",0.7,0.125,1.25,1.25,0.5,1.3333333333,0.75,2.875,2.25,2.3333333333,1.25,0.5,1.6666666667,2
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0.1,0,0.5,0,0.25,0.5,0,2.875,3.25,1.6666666667,0.375,0,1.1666666667,0.5
"Jack Russell Terrier","Entity[""DogBreed"", ""JackRussellTerrier""]",1.5,0,2.25,1.5,1.75,0.6666666667,0.25,3,3.75,2.3333333333,0.25,0.75,2.8333333333,3
"Labrador Retriever","Entity[""DogBreed"", ""LabradorRetriever""]",0,0,0,0,0,0,0,3.625,0,0.6666666667,0.125,0,0.1666666667,0.5
"Australian Terrier","Entity[""DogBreed"", ""AustralianTerrier""]",0.2,0,1.6666666667,1,0.75,0.1666666667,0,2.625,3.5,2.6666666667,1.1666666667,0.25,3.1666666667,4
"Labrador Retriever","Entity[""DogBreed"", ""LabradorRetriever""]",1,1.375,1,0.5,0,0.6666666667,"Missing[""NotAvailable""]",3,1.75,1.6666666667,1.25,0,2.1666666667,2.5
"Australian Cattle Dog","Entity[""DogBreed"", ""AustralianCattleDog""]",1.1111111111,0,0.5,1,1,0.3333333333,0.3333333333,3,1.75,2,0.25,0.25,2.1666666667,2.5
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0.7,0,1.25,0.25,0.25,0.6666666667,0,2.5,1,1.8,0,0.5,1.6666666667,2
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0.9,0.125,1.25,0.5,0.75,0.1666666667,0.5,2.375,1.5,1.6666666667,0,1,1.1666666667,1
"Whippet","Entity[""DogBreed"", ""Whippet""]",0.4,0,0.5,1,0.5,0.5,0,3.25,3.5,2.5,0.5,0,2.3333333333,2
"Whippet","Entity[""DogBreed"", ""Whippet""]",0.3,0,0,0,0,1.3333333333,0.25,3,3.25,1,0,1,2.1666666667,0.5
"Golden Retriever","Entity[""DogBreed"", ""GoldenRetriever""]",0,0,0.75,0,0,0,0,2.75,2.5,1.8333333333,0.25,0,2.3333333333,1
"Cardigan Welsh Corgi","Entity[""DogBreed"", ""CardiganWelshCorgi""]",0.3,0.125,0,0,0,0.5,0,2.25,1.75,1.8333333333,1,0.25,2,1.5
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0,0.125,0.5,0,0,0.4,1.5,2.125,2.5,2.1666666667,0.375,0,2.6666666667,2
"Mixed Breed/Unknown","Missing[""NotAvailable""]","Missing[""NotAvailable""]",0,"Missing[""NotAvailable""]","Missing[""NotAvailable""]","Missing[""NotAvailable""]",2.3333333333,0.6666666667,2.625,4,0.6666666667,0.125,1.25,2,3
"Labrador Retriever","Entity[""DogBreed"", ""LabradorRetriever""]",0.2,0,0.25,0,0.25,0,0,2.75,2.5,2.6666666667,0,0,1.6666666667,1.5
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0.3,1.2857142857,2,0.5,0.6666666667,0.1666666667,3.5,2.875,3.5,1.6666666667,1,1.6666666667,3.1666666667,3
"Vizsla","Entity[""DogBreed"", ""Vizsla""]",0.2,0.375,0.25,0,0,0,"Missing[""NotAvailable""]",2.875,2.3333333333,2,0,0,2.8333333333,3.5
"Papillon","Entity[""DogBreed"", ""Papillon""]",0,0.25,0.6666666667,0.75,0,1.6666666667,"Missing[""NotAvailable""]",3,2.5,"Missing[""NotAvailable""]",0.5,2,2,2
"Akita","Entity[""DogBreed"", ""Akita""]",0.1,0,0,0,0,0.5,0,2.875,2.75,3.1666666667,0.5,0,2.5,2
"Labrador Retriever","Entity[""DogBreed"", ""LabradorRetriever""]",0,0,0.5,0,0,0.5,0,2.625,0.75,1.8333333333,0,0.5,1.5,1.5
"Mixed Breed/Unknown","Missing[""NotAvailable""]",1.2,0,1,0,0.5,0,0,3.375,3,3.3333333333,0,0.25,2.5,2
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0.2,0.125,1,0,0,0,1.25,3.25,3,1.3333333333,0.375,0,0.5,1
"Collie","Entity[""DogBreed"", ""Collie""]",0,0,0,0,1.25,2,0,2.5,1.25,1.1666666667,0,1.5,1.3333333333,2
"Bernese Mountain Dog","Entity[""DogBreed"", ""BerneseMountainDog""]",0.2,0,0.25,0.25,0.25,0.1666666667,0.25,3.375,0.75,2.3333333333,0,0,1.3333333333,1.5
"Bernese Mountain Dog","Entity[""DogBreed"", ""BerneseMountainDog""]",0,0,0.25,0.5,0.25,0.3333333333,0.5,3.5,1,2.8333333333,0.5,0,1.5,1.5
"Bernese Mountain Dog","Entity[""DogBreed"", ""BerneseMountainDog""]",0.1,0,0.25,0,0,1,0,3,0.5,1.2,0,0.25,1.3333333333,1.5
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0.3,0,0,0,0,0.3333333333,0,3,0.75,1.6666666667,0,0,2.3333333333,1
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0,0.125,0,0,0,0,0.25,3.125,0,1.6666666667,0.125,0,1.3333333333,1
"Soft Coated Wheaten Terrier","Entity[""DogBreed"", ""SoftCoatedWheatenTerrier""]",0.3,0,3.3333333333,0,0,0.1666666667,0.5,1.25,3.75,0.8333333333,0,0,2,2
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0.7,0.875,0,0,0,0.6666666667,"Missing[""NotAvailable""]",1.375,2,1.1666666667,1.25,1.75,3.6666666667,4
"Labrador Retriever","Entity[""DogBreed"", ""LabradorRetriever""]",0,0,0,0,0,0.8333333333,0,2.875,2.5,1.6666666667,0,0.25,0.8333333333,0.5
"Bull Terrier","Entity[""DogBreed"", ""BullTerrier""]",0,0.375,1.75,0,0.25,0,1,2,2.75,2.3333333333,0,1.25,2.5,3
